"ST004D01T","ST022Q01TA","REPEAT","SCI.PHY","SCI.CHE","SCI.BIO","SCI.EAR","SCI.APP","SCI.GEN","OUT.MEAL","OUT.STUDY","OUT.VEDIO","OUT.READ","OUT.NET","Out.GAME","OUT.FRD","OUT.PAR","OUT.HOUSE","OUT.JOB","OUT.SPORT","ST111Q01TA","ST062Q01TA","ST062Q02TA","ST062Q03TA","ST031Q01NA","ST032Q01NA","ST064Q01NA","ST064Q02NA","ST064Q03NA","GRADE","MISCED","FISCED","DURECEC","DISCLISCI","TEACHSUP","IBTEACH","TDTEACH","ENVAWARE","ENVOPT","JOYSCIE","INTBRSCI","INSTSCIE","SCIEEFF","EPIST","SCIEACT","BSMJ","BMMJ1","BFMJ2","OUTHOURS","TMINS","BELONG","ANXTEST","MOTIVAT","COOPERATE","CPSVALUE","EMOSUPS","PERFEED","ADINST","unfairteacher","CULTPOSS","HEDRES","WEALTH"
0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,1,2,2,NA,0.6145,1.4475,3.1829,2.0781,0.8023,0.721,-0.4473,-1.0606,0.3708,0.2806,-0.1933,-1.7518,85,69,NA,NA,NA,-0.6837,-0.2729,0.2405,0.395,-1.8451,1.0991,1.0606,-0.0163,15,-0.7039,-1.0509,1.4165
0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,2,0,1,1,0,3,1,0,0,1,2,2,1,1.8837,0.0355,-0.6341,0.2564,0.4137,0.8261,0.4391,0.0795,0.3708,-0.7391,-0.5107,0.4538,89,60,22,2.30258509299405,1100,1.5611,0.2594,-0.3344,1.3264,0.5587,0.1018,-0.6927,0.0214,8,-0.7273,-0.6303,-0.8737
0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,2,1,1,0,0,3,1,0,0,1,4,3,NA,-0.088,1.4475,1.3944,1.1203,0.5739,0.7231,-0.2145,-0.172,0.3708,-0.7277,0.5184,-1.7518,50,82,18,3.87120101090789,2100,0.4597,0.3781,1.8543,-0.2882,0.0333,-0.2495,1.0606,0.6524,6,-1.6287,-0.1639,0.0748
1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,7,2,2,2,1,2,2,1,-0.7766,0.9209,0.6882,0.6495,0.8981,0.9469,0.5094,0.6584,-0.2552,0.3155,-0.7655,1.2482,38,18,65,2.99573227355399,NA,-0.0099,-0.6507,-0.5996,2.2879,2.1017,1.0991,0.0134,0.3379,11,-0.1338,0.0321,0.5933
1,0,NA,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,2,1,1,0,0,0,0,1,1,1,0,0,NA,-1.0981,-0.2199,1.0191,-0.878,-1.8591,1.2614,-1.0286,-0.2322,-0.2392,0.7171,-1.7618,1.2211,53,NA,NA,NA,NA,-1.2173,0.6725,-0.1651,-0.2882,-0.5601,-1.2602,0.5146,0.0214,15,-1.2278,-1.813,-0.7407
1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,2,1,0,0,5,0,0,0,0,3,4,2,-0.8722,-0.1164,-0.5226,1.4332,1.34,0.3586,0.5094,0.9974,1.356,1.2196,-1.6653,1.2451,NA,25,54,2.89037175789616,NA,0.4638,0.8531,1.8543,0.5759,0.891,0.1004,0.8849,1.3754,7,2.1655,1.1563,1.0976
1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,2,0,0,0,2,4,1,1,1,1,0,2,1,0.2884,1.4475,1.9221,2.0781,2.2983,1.183,1.6403,2.4511,1.7359,1.7933,1.1859,1.4474,79,NA,30,2.56494935746154,1620,0.9357,0.587,1.8543,1.5899,1.4758,1.0991,2.4994,1.3754,6,-0.4343,1.1563,-0.3459
0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,1,1,NA,NA,1.1892,0.4366,0.0416,0.854,-0.9691,3.0127,0.8061,0.3117,1.356,0.1387,0.5317,-0.8649,NA,NA,71,NA,NA,-3.1297,2.5493,0.9399,-1.2786,-1.1459,0.5658,2.4531,2.0469,9,-0.831,-0.9044,0.0963
1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,5,0,1,0,1,3,3,NA,0.0039,-0.4082,-0.5556,0.2564,1.0361,0.5,0.5094,0.8067,-0.0086,-0.2363,-0.5371,-0.3664,NA,57,NA,3.58351893845611,1800,-0.5152,0.5769,-0.2803,-0.2882,2.1017,1.0991,0.6389,0.0214,9,-0.2598,0.0321,-0.2785
1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,2,1,1,0,3,4,1,1,0,1,2,1,NA,-0.5436,-0.2618,0.1837,0.4505,0.0194,0.5979,0.5094,0.5305,0.3708,0.5037,-0.1933,-1.7518,51,76,18,1.09861228866811,825,0.6642,-0.4331,-0.1651,-0.2882,0.0333,1.0991,1.0606,-0.3816,10,-1.2278,1.1563,0.0312
